GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
web-app,com.epam.brest.service.web_app.config,ApplicationConfig,64,0,0,0,6,0,4,0,4,0
web-app,com.epam.brest.service.web_app,DepartmentController,0,107,0,2,0,28,0,9,0,8
web-app,com.epam.brest.service.web_app,Application,5,6,0,0,2,3,1,3,1,3
web-app,com.epam.brest.service.web_app,HomeController,5,0,0,0,2,0,2,0,2,0
web-app,com.epam.brest.service.web_app,EmployeeController,9,0,0,0,4,0,4,0,4,0
