GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dao,com.epam.brest.dao.jdbc,DepartmentDtoDaoJdbc,26,0,0,0,8,0,3,0,3,0
dao,com.epam.brest.dao.jdbc,DepartmentDaoJdbc,184,0,4,0,36,0,11,0,9,0
